place_id,name,address,raw_phone,wa_number,website,rating,user_ratings_total,place_types,price_level,scraped_at
ChIJg6_iCV9a4joRkg8jR95z7Qk,"Nature’s Corner, Pepiliyana - Organic Shop","56 B, Nugegoda Road, Pepiliyana, Boralesgamuwa 10290, Sri Lanka",076 924 2172,94769242172,http://www.naturescorner.lk/,4.3,151,"grocery_or_supermarket, health, store, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJgQAVmT9a4joRRjt7fW1Ajxg,The Saree Shop,"47 Pagoda Rd, Nugegoda 10250, Sri Lanka",077 787 2965,94777872965,,4.3,189,"clothing_store, store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJB7R_mKtR4joRh9HDdqwH9q8,Thisara Dropery Shop,"1 Battaramulla - Pannipitiya Rd, Ruhunupura 10230, Sri Lanka",0112 796 527,,,,,"store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJKejddgBR4joRwTD_v8YhIY0,Caravan Fresh - The Cake & Pastry Shop,"119/A Avissawella Rd, Maharagama 10280, Sri Lanka",070 147 5354,94701475354,,4.6,149,"bakery, store, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJ-8HmEVBa4joR-u6cQyu4cFw,Dilook Enterprises - The Sports Shop,"25 Sunethradevi Rd, Nugegoda, Sri Lanka",0112 828 854,,https://www.facebook.com/DilookEnterprises/,3.8,170,"store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJeesr6_lR4joR0Q4jCAOAC6U,Pussella Meat shop,"147 Avissawella Rd, Maharagama 10280, Sri Lanka",0112 847 251,,,3.4,5,"store, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJKfPqM_tR4joRjUL0M50VZ0Y,Pussalla Meat Shop - Pamunuwa,"VW7H+6W6, B504, Maharagama, Sri Lanka",,,,3.3,7,"store, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJpfpGHABb4joRqY1Y09xk5DE,Laughs Gas shop,"484 High Level Rd, Pannipitiya 10280, Sri Lanka",,,,5,1,"grocery_or_supermarket, store, food, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJlwBGRQBb4joRXqIhPtldN7Q,Shop 46,"38 3rd Ln, Boralesgamuwa, Sri Lanka",,,,5,1,"store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJpQNyPABb4joREWThFjmhnCo,St Thomas's Religious Item Shop,"VWJ2+PH7 St.Thomas Church, B120, Sri Jayawardenepura Kotte 10100, Sri Lanka",,,,5,1,"store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJ8QWczPla4joRd6DApZgyJhc,Samadhi Atapirikara Shop,"79A Sunethradevi Rd, Nugegoda 10280, Sri Lanka",071 713 0139,94717130139,,4.5,13,"store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJlzxQImBZ4joR4FpGchSExDA,SPELLBOUND NUGEGODA,"75 Old Kottawa Rd, Nugegoda 10250, Sri Lanka",0112 809 797,,https://www.spellboundfashion.com/,4.5,110,"clothing_store, store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJX4BuRWhQ4joRL_-uESh20YY,Thilina Brush shop - තිළිණ බුරුසු කඩේ,"194 Avissawella Rd, Pannipitiya 10230, Sri Lanka",0112 842 102,,,4.2,38,"hardware_store, store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJ0Yu-YnFQ4joRmoyGuGfQ9wA,P.R.K. Book Shop,"54/A Piliyandala - Maharagama Rd, Maharagama 10280, Sri Lanka",071 118 8871,94711188871,,4.6,25,"store, point_of_interest, establishment",,2025-09-28 03:41:21
ChIJ9yasnHlQ4joRrCQBWrsL0bI,Sasiri Book Shop,"14 High Level Rd, Maharagama 10280, Sri Lanka",072 285 0754,94722850754,,4.3,67,"book_store, store, point_of_interest, establishment",,2025-09-28 03:41:21
